"ID","CN","CAPT","SRC","OUTERID","SCORE"
"c2e92b23-e809-40a2-bb77-30446fc24a9a","Marshall Islands","Majuro","GN","d8655cdf-4696-48fa-ab37-f7f0eb0d3ead","10.596247"
"7780309b-0cf7-443e-b1bb-97e34eb3b75f","North Macedonia","Skopje","GN","8d1c16da-216b-4833-afe4-c91878fd65d5","10.037296"
"cb8adec6-0030-45fa-9eb6-68d45132337d","Mali","Bamako","GN","6b541e30-4f97-4c19-ab3a-431aa246cdb3","8.53639"
"841df556-0acd-4ce5-bdcd-20016d9e254e","Myanmar","Nay Pyi Taw","GN",,
"6b970c8c-3c4a-40c1-b760-f322e86fbb32","Mongolia","Ulaanbaatar","GN","dc03a83a-e30d-4646-b22a-0571e38c30a9","8.53639"
"321fe508-a2a5-4c14-8888-ae8a6ff213d8","Macao","Macao","GN",,
"60aa7b9e-0c3a-4af0-ac5e-27e21cc48b79","Northern Mariana Islands","Saipan","GN","84ee5b5a-a8a4-4e89-8f27-cd9c596ddf71","12.606565"
"165eef67-c875-4416-a005-1ef1b85f0d1e","Martinique","Fort-de-France","GN",,
"a79dd5f5-2c52-4a3a-9d48-84436c8917c1","Mauritania","Nouakchott","GN","9937abf3-fec7-4fa2-a8b9-38aecb57766a","9.815064"
"f81d10ed-611f-4000-b3d4-7733c14184e8","Montserrat","Plymouth","GN",,
"80d98497-5713-43a6-ba42-1173a7b0cbeb","Malta","Valletta","GN","5cb7e9f0-f4cd-4f94-a271-8de3a13aafac","9.8091545"
"539fd0cc-63a5-490e-9827-a6c4d35b74ab","Mauritius","Port Louis","GN","d09227d9-babe-4efc-a50c-182eb3db1cdc","10.276721"
"24951d89-ca73-4b24-b16a-f055b512dafb","Maldives","Male","GN","a166ef7d-3367-436a-a676-9fbf321e7870","9.713965"
"4d7959f8-a9aa-44f6-83ca-ad36877b6916","Malawi","Lilongwe","GN","d1386d54-d744-409c-a996-c678f441cf2a","8.634249"
"b7557a48-8ff7-4597-9f16-fb3940a29b31","Mexico","Mexico City","GN","97f5eab3-44b5-4752-b047-f57c95473b24","11.034852"
"cd259ea1-ac63-4e0e-b206-0649f2c41bbd","Malaysia","Kuala Lumpur","GN","1fbd10d5-9735-4fb2-b78a-793d475e040b","11.104156"
"9324ab3a-636a-4d8a-b577-0e8cdbdfceb2","Mozambique","Maputo","GN","97c03c5f-8935-4a0c-ae45-634937383bf9","9.850367"
"bf7085cf-1109-4631-b472-fc2057334b5f","Namibia","Windhoek","GN","4747b1bf-edd0-4714-96ee-44f7b868e187","9.8091545"
"15366684-d263-403c-afce-cba603ed2926","New Caledonia","Noumea","GN","1d91d6c9-8572-41a6-b4dd-3af49ddd18e2","11.267039"
"05987022-c3ee-45d2-8397-b09d2bb96ec9","Niger","Niamey","GN","7d901db8-c083-4f8c-90ab-5bef8833a916","9.815064"
"74faae8d-73ce-4f55-8165-cbb8310428c3","Norfolk Island","Kingston","GN",,
"12c79ed8-427f-4fa6-8db2-1e060bec914c","Nigeria","Abuja","GN","f2ed24a1-89bc-4ed7-b664-97ed508728ad","9.208185"
"ac9c55c2-f7a7-4e41-97fd-917b9077f7b3","Nicaragua","Managua","GN","705f816c-effd-4dd2-9384-641ea7cc93c2","9.253219"
"8dc66505-daac-4296-9b48-6f8ee5a2e21f","Netherlands","Amsterdam","GN","b6af346b-7b5a-4bca-af13-1d240b7813b2","9.8091545"
"be29a753-5c72-48ac-9c45-9e09800909dd","Norway","Oslo","GN","2727449f-e5e9-4d01-a492-8b5debc8fc02","9.713965"
"ddeb215f-71c4-4158-a585-deb7c129dde2","Nepal","Kathmandu","GN","8e6037d2-5f20-4301-a236-98614ae0a26d","9.742651"
"1cfee937-d42f-4945-a5b9-39bfcfb9bfd0","Nauru","Yaren","GN","ae9832a2-4cac-473e-aa6d-fb03d9f3c637","8.197539"
"d5d5ed64-b015-4708-8ebb-e08c5243cb53","Niue","Alofi","GN",,
"0eff60f2-bf27-4697-83db-4db704533d46","New Zealand","Wellington","GN","2d72b838-32cc-4589-bc7b-01806714def6","12.036737"
"bbd69be2-66f4-4fd1-a20a-9584c396b242","Oman","Muscat","GN","4f05380e-66f7-4219-87c2-c0140b11cf67","8.634249"
"2be2ba12-aee6-46b3-84e9-b86816b998fe","Panama","Panama City","GN","4374a8fd-351b-462a-99c3-6dd8e80177ef","10.804352"
"1231f30d-5e25-43f7-813c-f4712a1de949","Peru","Lima","GN","74c0e65c-f593-4f8f-9c87-650a1d1e06f2","9.742651"
"d7b27bf7-182c-4b67-b101-99e6f8bef26d","French Polynesia","Papeete","GN","a30972d1-be8a-44dc-a580-6602c461296a","10.183249"
"b0091827-b130-4480-94a9-52ddbd6101dd","Papua New Guinea","Port Moresby","GN","efa12ecc-e574-43c2-aaba-08bf43f5465e","13.08124"
